Wort,Log-Likelihood (G²),Freq
majestät,689.7875347926115,500
könig,187.33844446456533,161
kaiser,142.6150688403684,140
königin,104.75801655346663,93
general,92.01090894891479,85
rittmeister,87.19178649848055,121
volk,58.91832952774056,65
königlich,51.581953064623924,39
deutsch,48.04683883285237,102
pferd,41.134008352850024,106
minister,38.29940287412081,24
preußisch,34.2914025208797,18
feind,33.01331615923988,38
krone,32.592637733655565,33
souverän,32.386324603053055,17
tod,30.301120068763865,70
vater,25.556581317838706,184
bauer,25.137193682401993,28
fliegen,24.729315943004877,102
prost,23.487297701501646,79
geheimrat,23.07039319785018,41
graf,21.922103236251903,21
kaiserlich,21.922103236251903,21
krieg,21.211288197564436,81
gift,19.0507791782665,10
oll,18.53583122950901,13
thron,18.53583122950901,13
regierung,18.003473199660107,27
unheilbar,17.14570126043985,9
richter,15.85938435025132,20
