Wort,TF-IDF-Score
herr,0.6016722672970022
wissen,0.24858854188139395
frau,0.22842280470812454
majestät,0.18332488339335837
sagen,0.18112498479263808
sehen,0.16792559318831626
schön,0.1400602109125258
lassen,0.12136107280640325
glauben,0.11329477793709548
danken,0.10779503143529473
denken,0.1030285844670674
leben,0.1030285844670674
mann,0.10119533563313382
kommen,0.09899543703241352
nehmen,0.09459563983097292
bleiben,0.0898291928627456
mensch,0.08799594402881201
stehen,0.08249619752701128
geben,0.0810295984598644
kind,0.07956299939271753
gott,0.07846305009235739
sprechen,0.07662980125842381
weg,0.07626315149163708
verstehen,0.07516320219127694
abend,0.07113005475662305
alt,0.0700301054562629
jung,0.06893015615590276
brauchen,0.06819685662232931
vater,0.06746355708875588
eigentlich,0.06746355708875588
